"MSA.Code","MSA.Name"
"C1206","Atlanta GA"
"C1242","Austin TX"
"C1258","Baltimore MD"
"C1382","Birmingham AL"
"C1446","Boston MA"
"C1538","Buffalo NY"
"C1674","Charlotte NC"
"C1698","Chicago IL"
"C1714","Cincinnati OH"
"C1746","Cleveland OH"
"C1814","Columbus OH"
"C1910","Dallas-Fort Worth TX"
"C1974","Denver CO"
"C1982","Detroit MI"
"C2554","Hartford CT"
"C2642","Houston TX"
"C2690","Indianapolis IN"
"C2726","Jacksonville FL"
"C2814","Kansas City MO"
"C2982","Las Vegas NV"
"C3108","Los Angeles CA"
"C3114","Louisville KY"
"C3282","Memphis TN"
"C3310","Miami FL"
"C3334","Milwaukee WI"
"C3346","Minneapolis-St. Paul MN"
"C3498","Nashville TN"
"C3538","New Orleans LA"
"C3562","New York NY"
"C3642","Oklahoma City OK"
"C3674","Orlando FL"
"C3798","Philadelphia PA"
"C3806","Phoenix AZ"
"C3830","Pittsburgh PA"
"C3890","Portland OR"
"C3930","Providence RI"
"C3958","Raleigh NC"
"C4006","Richmond VA"
"C4014","Riverside-San Bernardino CA"
"C4038","Rochester NY"
"C4090","Sacramento CA"
"C4162","Salt Lake City UT"
"C4170","San Antonio TX"
"C4174","San Diego CA"
"C4186","San Francisco CA"
"C4194","San Jose CA"
"C4266","Seattle WA"
"C4118","St Louis MO"
"C4530","Tampa FL"
"C4726","Virginia Beach VA"
"C4790","Washington DC"
